				Classification 1					Classification 2						Classification 3					Classification 4 - Ontology leveraged		
fungus	alternaria alternata	3																				
fungus	curvularia lunata	3																				
fungus	penicillium viridicatum	3																				
fungus	fusarium solani	3																				
fungus	penicillium funiculosum	3																				
fungus	pithomyces chartarum	3																				
host	ovine (dairy sheep)	76																				
host	human	53																				
host	sheep	47																				
host	caprine (goat)	26																				
host	bovine (cow)	21																				
host	acyrthosiphon pisum (clone pll01)	18																				
host	mouse	12																				
host	medicago sativa cv. europe	10																				
host	chicken	6																				
host	caenorhabditis elegans l1 larvae (strain n2)	4																				
host	chenopodium quinoa	4																				
host	datura stramonium	3																				
host	nicotiana tabacum	2																				
host	medicago sativa cv. locationl	2																				
host	cockroach	2																				
host	balb/c mouse	2																				
host	medicago truncatula	2																				
host	locust	2																				
host	undetermined	2																				
host	microtus fortis	2																				
host	rabbit	1																				
host	glycine max	1																				
host	chenopodiun amaranticolor	1																				
host	taraxacum officinale	1																				
host	panax notoginseng	1																				
host	phaseolus vulgaris	1																				
host	zinnia elegans	1																				
host	reference	1																				
host	cucumis sativus	1																				
host	tetragonia expansa	1																				
host	homo sapiens blood	1																				
host	homo sapiens liver	1																				
labeled molecule	genomic dna	5																				
labeled molecule	cdna	3																				
labeled molecule	rna	2																				
molecule	genomic dna	54																				
molecule	reverse transcribed total rna	54																				
molecule	microrna	40																				
molecule	all fraction rna	12																				
molecule	short fraction rna	12																				
nucleic acid	nucleosomal	2																				
nucleic acid	genomic dna	1																				
organism	homo sapiens	329011																				
organism	mus musculus	125863																				
organism	rattus norvegicus	34194																				
organism	saccharomyces cerevisiae	30918																				
organism	arabidopsis thaliana	23538																				
organism	drosophila melanogaster	15305																				
organism	caenorhabditis elegans	4824																				
organism	bos taurus	4601																				
organism	gallus gallus	4529																				
organism	sus scrofa	4408																				
organism	escherichia coli	4391																				
organism	danio rerio	3569																				
organism	zea mays	3535																				
organism	oryza sativa	3359																				
organism	mycobacterium tuberculosis	2767																				
organism	schizosaccharomyces pombe	2662																				
organism	salmonella enterica subsp. enterica serovar typhimurium	2573																				
organism	hordeum vulgare	1899																				
organism	candida albicans	1762																				
organism	plasmodium falciparum	1752																				
organism	triticum aestivum	1738																				
organism	staphylococcus aureus	1734																				
organism	helicobacter pylori	1605																				
organism	oncorhynchus mykiss	1569																				
organism	campylobacter jejuni	1531																				
organism	glycine max	1519																				
organism	salmo salar	1496																				
organism	halobacterium sp. nrc 1	1478																				
organism	streptomyces coelicolor	1391																				
organism	halobacterium salinarum	1384																				
organism	solanum tuberosum	1274																				
organism	populus trichocarpa x populus deltoides	1166																				
organism	mycobacterium tuberculosis h37rv	1148																				
organism	macaca mulatta	1064																				
organism	macaca fascicularis	926																				
organism	bacillus cereus	879																				
organism	pimephales promelas	860																				
organism	canis lupus familiaris	833																				
organism	gossypium hirsutum	822																				
organism	oncorhynchus nerka	822																				
organism	bacillus subtilis	815																				
organism	ovis aries	787																				
organism	medicago truncatula	756																				
organism	apis mellifera	753																				
organism	oryza sativa japonica group	738																				
organism	dictyostelium discoideum	734																				
organism	saccharomyces bayanus	724																				
organism	synthetic construct	705																				
organism	sinorhizobium meliloti	686																				
organism	neisseria meningitidis	668																				
organism	yersinia pestis	657																				
organism	pseudomonas aeruginosa	655																				
organism	rattus rattus	638																				
organism	daphnia pulex	626																				
organism	streptococcus pyogenes	606																				
organism	xenopus laevis	602																				
organism	daphnia magna	562																				
organism	listeria monocytogenes	542																				
organism	crassostrea virginica	540																				
organism	bordetella pertussis	536																				
organism	streptococcus pneumoniae	531																				
organism	thermus thermophilus hb8	524																				
organism	bacillus anthracis str. sterne	517																				
organism	platichthys flesus	516																				
organism	toxoplasma gondii	480																				
organism	viruses	476																				
organism	brassica napus	472																				
organism	pan troglodytes	464																				
organism	enterococcus faecalis	461																				
organism	sparus aurata	434																				
organism	salmonella enterica	432																				
organism	vitis vinifera	425																				
organism	vibrio cholerae	415																				
organism	biomphalaria glabrata	413																				
organism	eucalyptus grandis x eucalyptus urophylla	408																				
organism	eisenia fetida	408																				
organism	anopheles gambiae	404																				
organism	clostridium botulinum	400																				
organism	nicotiana tabacum	388																				
organism	bacillus anthracis	381																				
organism	francisella tularensis subsp. novicida	370																				
organism	neurospora crassa	369																				
organism	solanum lycopersicum	365																				
organism	blastocladiella emersonii	358																				
organism	spermophilus lateralis	356																				
organism	oryza sativa indica group	355																				
organism	montastraea faveolata	354																				
organism	lactobacillus plantarum	350																				
organism	legionella pneumophila subsp. pneumophila str. philadelphia 1	348																				
organism	myxococcus xanthus	344																				
organism	lactobacillus reuteri	344																				
organism	meleagris gallopavo	342																				
organism	pinctada maxima	342																				
organism	francisella tularensis	334																				
organism	desulfovibrio vulgaris subsp. vulgaris str. hildenborough	333																				
organism	bacteria	333																				
organism	solanum chacoense	328																				
organism	candida glabrata	325																				
organism	salmonella typhimurium	316																				
organism	bombyx mori	313																				
organism	coregonus clupeaformis	305																				
organism	mycobacterium avium	304																				
organism	chlamydomonas reinhardtii	299																				
organism	gasterosteus aculeatus	291																				
organism	spermophilus parryii	291																				
organism	escherichia coli str. k 12 substr. mg1655	290																				
organism	fundulus heteroclitus	289																				
organism	schistosoma mansoni	284																				
organism	citrus clementina	281																				
organism	picea engelmannii x picea glauca	278																				
organism	escherichia coli k12	270																				
organism	rhizobium leguminosarum	267																				
organism	folsomia candida	266																				
organism	actinobacillus pleuropneumoniae	264																				
organism	clostridium difficile	261																				
organism	salmonella typhimurium sl1344	259																				
organism	crassostrea gigas	254																				
organism	cyclamen persicum	254																				
organism	taeniopygia guttata	252																				
organism	gillichthys mirabilis	246																				
organism	bradyrhizobium japonicum	242																				
organism	saccharum officinarum	240																				
organism	lycopersicon esculentum	239																				
organism	escherichia coli k 12	237																				
organism	ustilago maydis	236																				
organism	aspergillus niger	232																				
organism	euphorbia esula	232																				
organism	haemophilus influenzae	228																				
organism	petrolisthes cinctipes	228																				
organism	salmonella enterica subsp. enterica	222																				
organism	cricetulus griseus	222																				
organism	populus trichocarpa	220																				
organism	entamoeba histolytica	220																				
organism	emericella nidulans	220																				
organism	papio hamadryas	219																				
organism	bordetella bronchiseptica	218																				
organism	gadus morhua	218																				
organism	streptococcus mutans ua159	209																				
organism	ipomoea batatas	208																				
organism	cyprinus carpio	205																				
organism	aedes aegypti	204																				
organism	eucalyptus grandis	203																				
organism	desulfovibrio vulgaris str. hildenborough	202																				
organism	capra hircus	201																				
organism	cryptococcus neoformans var. grubii	200																				
organism	populus tremula x populus alba	199																				
organism	lactococcus lactis	199																				
organism	paramecium bursaria chlorella virus 1	197																				
organism	bacillus cereus atcc 14579	194																				
organism	mytilus californianus	192																				
organism	synechocystis sp. pcc 6803	191																				
organism	equus caballus	191																				
organism	unidentified	191																				
organism	pseudomonas putida	190																				
organism	bacteroides thetaiotaomicron	189																				
organism	shewanella oneidensis mr 1	187																				
organism	environmental samples	186																				
organism	trypanosoma brucei	185																				
organism	aspergillus fumigatus	184																				
organism	xylella fastidiosa	184																				
organism	picea abies	184																				
organism	clostridium acetobutylicum	180																				
organism	lactobacillus sakei	179																				
organism	nicotiana benthamiana	178																				
organism	magnaporthe oryzae	177																				
organism	candida dubliniensis	176																				
organism	vibrio parahaemolyticus	175																				
organism	solenopsis invicta	172																				
organism	strongyloides ratti	168																				
organism	oryctolagus cuniculus	167																				
organism	ciona intestinalis	165																				
organism	enterococcus faecium	164																				
organism	lactobacillus rhamnosus	160																				
organism	populus euphratica	160																				
organism	salmo trutta	160																				
organism	drosophila simulans	159																				
organism	tursiops truncatus	159																				
organism	oenococcus oeni	158																				
organism	archaea	156																				
organism	lactobacillus johnsonii	153																				
organism	cyanidioschyzon merolae	150																				
organism	synechococcus elongatus pcc 7942	150																				
organism	lactobacillus paracasei	148																				
organism	lactobacillus fermentum	148																				
organism	geobacter sulfurreducens pca	148																				
organism	lotus japonicus	147																				
organism	rhodopseudomonas palustris	146																				
organism	neisseria gonorrhoeae	146																				
organism	mycoplasma hyopneumoniae	146																				
organism	pennisetum glaucum	144																				
organism	lactobacillus helveticus	144																				
organism	coturnix japonica	143																				
organism	picea sitchensis	142																				
organism	burkholderia pseudomallei	141																				
organism	lactobacillus paralimentarius	140																				
organism	salmonella enterica subsp. enterica serovar typhi	140																				
organism	acropora palmata	140																				
organism	lactobacillus acidophilus	140																				
organism	lactobacillus sanfranciscensis	140																				
organism	lactobacillus delbrueckii	140																				
organism	leuconostoc mesenteroides	140																				
organism	lactobacillus curvatus	140																				
organism	lactobacillus pontis	140																				
organism	lactobacillus gasseri	137																				
organism	leuconostoc citreum	136																				
organism	staphylococcus lentus	136																				
organism	lactobacillus parabuchneri	136																				
organism	lactobacillus frumenti	136																				
organism	pediococcus acidilactici	136																				
organism	mustela putorius furo	136																				
organism	lactobacillus pentosus	136																				
organism	lactobacillus hilgardii	136																				
organism	lactobacillus crispatus	136																				
organism	lactobacillus mindensis	136																				
organism	lactobacillus casei	136																				
organism	lactobacillus alimentarius	136																				
organism	lactobacillus amylovorus	136																				
organism	pediococcus pentosaceus	136																				
organism	enterococcus hirae	136																				
organism	salvelinus fontinalis	136																				
organism	arachis hypogaea	136																				
organism	enterococcus casseliflavus	136																				
organism	lactobacillus paraplantarum	136																				
organism	streptococcus thermophilus	136																				
organism	lactobacillus brevis	136																				
organism	lactobacillus farciminis	136																				
organism	lactobacillus kimchii	136																				
organism	lactobacillus buchneri	136																				
organism	lactobacillus fructivorans	136																				
organism	lactobacillus panis	136																				
organism	brevibacterium linens	136																				
organism	bifidobacterium	136																				
organism	leuconostoc pseudomesenteroides	136																				
organism	enterococcus mundtii	136																				
organism	weissella confusa	136																				
organism	lactobacillus rossiae	136																				
organism	streptococcus suis	135																				
organism	onthophagus taurus	134																				
organism	cryptococcus neoformans var. grubii h99	134																				
organism	campylobacter coli	132																				
organism	bacillus subtilis subsp. subtilis str. 168	132																				
organism	saccharomyces cerevisiae sk1	132																				
organism	synthetic	130																				
organism	canis familiaris	128																				
organism	rhodococcus sp. rha1	126																				
organism	campylobacter jejuni subsp. jejuni nctc 11168	124																				
organism	dreissena polymorpha	124																				
organism	rhodopirellula baltica	124																				
organism	streptococcus mutans	122																				
organism	bifidobacterium longum	122																				
organism	streptococcus agalactiae	121																				
organism	kluyveromyces lactis	121																				
organism	marine metagenome	120																				
organism	sulfolobus solfataricus	120																				
organism	prochlorococcus marinus	119																				
organism	yersinia enterocolitica	115																				
organism	populus x canadensis	110																				
organism	populus deltoides	109																				
organism	bartonella henselae	107																				
organism	burkholderia thailandensis	105																				
organism	andropogon gerardii	104																				
organism	spermophilus tridecemlineatus	104																				
organism	amblyomma americanum	104																				
organism	rickettsia rickettsii	103																				
organism	litopenaeus vannamei	103																				
organism	pisum sativum	102																				
organism	legionella pneumophila	102																				
organism	bordetella parapertussis	101																				
organism	geranium dissectum	100																				
organism	populus fremontii x populus angustifolia	100																				
organism	aplysia californica	98																				
organism	human herpesvirus 4	97																				
organism	curcuma longa	96																				
organism	vitis riparia	96																				
organism	zingiber officinale	96																				
organism	cervus elaphus	95																				
organism	porphyromonas gingivalis	95																				
organism	xenopus tropicalis	93																				
organism	burkholderia pseudomallei k96243	93																				
organism	mycobacterium bovis	93																				
organism	acinetobacter baumannii	92																				
organism	malus x domestica	91																				
organism	euprymna scolopes	90																				
organism	pyrobaculum aerophilum	90																				
organism	aliivibrio salmonicida lfi1238	90																				
organism	bacillus subtilis strain 168	90																				
organism	anas platyrhynchos	88																				
organism	ostreococcus tauri	88																				
organism	brugia malayi	88																				
organism	apis mellifera mellifera	87																				
organism	lactobacillus plantarum wcfs1	86																				
organism	schistosoma japonicum	85																				
organism	burkholderia cenocepacia	85																				
organism	mytilus galloprovincialis	84																				
organism	lactococcus lactis subsp. lactis	84																				
organism	xanthomonas oryzae pv. oryzae kacc10331	84																				
organism	trichophyton rubrum	84																				
organism	caldicellulosiruptor saccharolyticus	82																				
organism	synechococcus sp. wh 8102	82																				
organism	ralstonia solanacearum	82																				
organism	vulpes vulpes	81																				
organism	plasmodium yoelii	81																				
organism	clostridium acetobutylicum atcc 824	81																				
organism	leishmania major	81																				
organism	brevibacterium aurantiacum	80																				
organism	staphylococcus aureus subsp. aureus mssa476	80																				
organism	dinoroseobacter shibae dfl 12	80																				
organism	helicobacter pylori 26695	80																				
organism	gossypium barbadense	80																				
organism	caulobacter vibrioides	80																				
organism	myzus persicae	80																				
organism	solea senegalensis	80																				
organism	strongylocentrotus purpuratus	80																				
organism	escherichia coli w3110	80																				
organism	h7 str. sakai	80																				
organism	saccharomyces paradoxus	79																				
organism	lumbrius rubellus	79																				
organism	mus musculus x mus spretus	78																				
organism	salmonella paratyphi	78																				
organism	pasteurella multocida	78																				
organism	coprinopsis cinerea	78																				
organism	salmonella enteritidis	77																				
organism	listeria monocytogenes egd e	77																				
organism	borrelia burgdorferi	77																				
organism	deinococcus radiodurans r1	76																				
organism	haloferax volcanii	75																				
organism	ectocarpus siliculosus	75																				
organism	picea glauca	73																				
organism	phanerochaete chrysosporium	73																				
organism	aspergillus flavus	73																				
organism	exiguobacterium sibiricum 255 15	72																				
organism	anguilla anguilla	72																				
organism	xanthomonas oryzae pv. oryzae pxo99a	72																				
organism	pinus sylvestris	72																				
organism	oncorhynchus gorbuscha	72																				
organism	coxiella burnetii	70																				
organism	filobasidiella neoformans	70																				
organism	prevotella ruminicola	68																				
organism	populus tremuloides	68																				
organism	homo sapiens	67																				
organism	aspergillus parasiticus	67																				
organism	brucella melitensis 16m	66																				
organism	uncultured prokaryote	65																				
organism	staphylococcus epidermidis	65																				
organism	streptococcus sp. 'group a'	64																				
organism	phaeodactylum tricornutum	64																				
organism	bradyrhizobium japonicum usda 110	64																				
organism	medicago sativa	64																				
organism	pichia pastoris	64																				
organism	moniliophthora perniciosa	64																				
organism	capsicum annuum	63																				
organism	mus musculus domesticus	63																				
organism	bartonella grahamii	63																				
organism	bacteroides thetaiotaomicron vpi 5482	63																				
organism	streptomyces griseus subsp. griseus nbrc 13350	62																				
organism	leishmania infantum	62																				
organism	clostridium beijerinckii ncimb 8052	62																				
organism	thalassiosira pseudonana ccmp1335	62																				
organism	oryza sativa (indica cultivar group)	61																				
organism	pseudomonas aeruginosa pao1	61																				
organism	salmonella enterica subsp. enterica serovar enteritidis	61																				
organism	euphausia superba	61																				
organism	vigna unguiculata	60																				
organism	karenia brevis	60																				
organism	paracoccidioides brasiliensis	60																				
organism	nicotiana langsdorffii x nicotiana sanderae	60																				
organism	psychrobacter arcticus 273 4	60																				
organism	wolbachia pipientis	60																				
organism	chlorocebus aethiops	60																				
organism	hippoglossus hippoglossus	60																				
organism	helicobacter pylori j99	59																				
organism	paxillus involutus	59																				
organism	harpagifer antarcticus	58																				
organism	drosophila pseudoobscura	58																				
organism	tetrahymena thermophila	58																				
organism	oncorhynchus kisutch	58																				
organism	lepidium sativum	58																				
organism	acyrthosiphon pisum	58																				
organism	burkholderia cepacia	58																				
organism	geobacter sulfurreducens	58																				
organism	streptococcus sanguinis	58																				
organism	pongo pygmaeus	57																				
organism	hypocrea jecorina	56																				
organism	micropterus salmoides	56																				
organism	drosophila yakuba	55																				
organism	phodopus sungorus	54																				
organism	podospora anserina	54																				
organism	rhipicephalus microplus	54																				
organism	streptococcus thermophilus bacteriophage dt1	54																				
organism	sulfolobus acidocaldarius	53																				
organism	candida parapsilosis	52																				
organism	mayetiola destructor	52																				
organism	gibberella moniliformis	51																				
organism	streptomyces coelicolor a3(2)	51																				
organism	rhodobacter sphaeroides	50																				
organism	gossypium longicalyx	48																				
organism	neurospora tetrasperma	48																				
organism	rana pirica	48																				
organism	salmonella enterica subsp. enterica serovar saintpaul	48																				
organism	apis mellifera ligustica	48																				
organism	populus nigra	48																				
organism	wyeomyia smithii	48																				
organism	zymomonas mobilis	48																				
organism	polistes metricus	48																				
organism	sarcophaga crassipalpis	48																				
organism	bryantella formatexigens dsm 14469	48																				
organism	yersinia pseudotuberculosis	48																				
organism	salmonella enterica subsp. enterica serovar typhimurium str. 14028s	48																				
organism	atcc	48																				
organism	lactobacillus reuteri f275	48																				
organism	actinosynnema pretiosum	48																				
organism	gossypium herbaceum	48																				
organism	triticum turgidum subsp. dicoccoides	48																				
organism	bufo marinus	48																				
organism	saccharomyces pastorianus	47																				
organism	xenopus (silurana) tropicalis	46																				
organism	cryptococcus bacillisporus	46																				
organism	prochlorococcus marinus subsp. pastoris str. ccmp1986	46																				
organism	gerbera hybrid cultivar	45																				
organism	salmon salar	45																				
organism	drosophila virilis	45																				
organism	linum usitatissimum	45																				
organism	h7 edl933	45																				
organism	mycobacterium smegmatis str. mc2 155	44																				
organism	dichelobacter nodosus	44																				
organism	dendroctonus ponderosae	44																				
organism	cryptopygus antarcticus	44																				
organism	sars coronavirus	44																				
organism	citrus sinensis	44																				
organism	salmonella enterica subsp. enterica serovar typhimurium str. lt2	43																				
organism	plasmodium berghei	43																				
organism	streptococcus pyogenes nz131	42																				
organism	arthroderma benhamiae	42																				
organism	vitis hybrid cultivar	42																				
organism	drosophila ananassae	42																				
organism	ictalurus punctatus	42																				
organism	psetta maxima	42																				
organism	drosophila mojavensis	41																				
organism	blautia hydrogenotrophica dsm 10507	41																				
organism	emiliania huxleyi	41																				
organism	solanum phureja	40																				
organism	phytophthora sojae	40																				
organism	bk polyomavirus	40																				
organism	lactobacillus delbrueckii subsp. bulgaricus atcc baa 365	40																				
organism	haematobia irritans	40																				
organism	lepeophtheirus salmonis	40																				
organism	streptococcus thermophilus cnrz1066	40																				
organism	magnaporthe grisea	40																				
organism	salmonella enterica subspecies i	40																				
organism	danaus plexippus	40																				
organism	trypanosoma cruzi	40																				
organism	paramecium tetraurelia	39																				
organism	onthophagus nigriventris	38																				
organism	mycobacterium smegmatis	38																				
organism	ashbya gossypii	38																				
organism	aspergillus oryzae	38																				
organism	piriqueta cistoides subsp. caroliniana	36																				
organism	enteromyxum leei	36																				
organism	uncultured sulfate reducing bacterium	36																				
organism	schmidtea mediterranea	36																				
organism	pongo abelii	36																				
organism	oryza sativa (japonica cultivar group)	36																				
organism	acropora millepora	36																				
organism	mycobacterium bovis bcg	36																				
organism	mytilus trossulus	36																				
organism	vitis aestivalis	36																				
organism	herminiimonas arsenicoxydans	36																				
organism	haliotis asinina	36																				
organism	streptococcus thermophilus bacteriophage 2972	36																				
organism	helianthus annuus	36																				
organism	arabidopsis halleri	36																				
organism	salmonella enterica subsp. enterica serovar paratyphi b	36																				
organism	bruguiera gymnorhiza	35																				
organism	salmonella enterica serotype typhimurium	35																				
organism	epinephelus coioides	34																				
organism	synthetic dna	34																				
organism	lolium perenne	34																				
organism	megaphorura arctica	34																				
organism	brassica rapa	34																				
organism	listeria monocytogenes str. 4b f2365	34																				
organism	mycoplasma genitalium	34																				
organism	ralstonia metallidurans ch34	34																				
organism	cercocebus torquatus atys	33																				
organism	prochlorococcus marinus str. mit 9313	33																				
organism	mycobacterium bovis bcg str. pasteur 1173p2	33																				
organism	rhodobacter sphaeroides 2.4.1	33																				
organism	drosophila persimilis	33																				
organism	rhodospirillum rubrum	33																				
organism	plasmodium falciparum 3d7	33																				
organism	thermoanaerobacter sp. x514	33																				
organism	carassius auratus	32																				
organism	methanococcus maripaludis	32																				
organism	metallosphaera sedula	32																				
organism	orchesella cincta	32																				
organism	candidatus blochmannia floridanus	32																				
organism	capsella bursa pastoris	32																				
organism	h7	32																				
organism	holothuria glaberrima	32																				
organism	francisella tularensis subsp. tularensis schu s4	32																				
organism	eschscholzia californica	32																				
organism	citrus reticulata	32																				
organism	persea americana	32																				
organism	felis catus	32																				
organism	melospiza melodia	31																				
organism	salmonella enterica subsp. enterica serovar newport	30																				
organism	salmonella enterica subsp. enterica serovar heidelberg	30																				
organism	salmonella enterica subsp. enterica serovar muenchen	30																				
organism	ralstonia eutropha h16	30																				
organism	osmerus mordax	30																				
organism	rhodococcus aetherivorans	30																				
organism	pseudomonas syringae pv. tomato str. dc3000	30																				
organism	salmonella enterica subsp. enterica serovar paratyphi a	30																				
organism	marmota monax	29																				
organism	desulfovibrio halophilus	29																				
organism	saccharomyces mikatae	29																				
organism	staphylococcus aureus subsp. aureus str. newman	29																				
organism	iridovirus	28																				
organism	bos indicus	28																				
organism	bacillus thuringiensis	28																				
organism	streptomyces turgidiscabies	28																				
organism	synechococcus sp. cc9311	28																				
organism	gorilla gorilla	28																				
organism	saccharomyces cerevisiae x saccharomyces paradoxus	28																				
organism	bacteriophage bfk20	28																				
organism	xenopus laevis x xenopus muelleri	28																				
organism	macropus eugenii	28																				
organism	glycine soja	28																				
organism	lagopus lagopus scotica	27																				
organism	alexandrium tamarense	27																				
organism	populus balsamifera	27																				
organism	eubacterium rectale	27																				
organism	penicillium chrysogenum	27																				
organism	fusarium oxysporum	27																				
organism	ursus americanus	27																				
organism	caenorhabditis briggsae	26																				
organism	mus spretus	26																				
organism	bdellovibrio bacteriovorus	26																				
organism	cryptococcus gattii	26																				
organism	colinus virginianus	26																				
organism	drosophila sechellia	26																				
organism	methanococcoides burtonii	26																				
organism	influenza a virus	26																				
organism	populus tremula	26																				
organism	syntrichia ruralis	25																				
organism	leishmania donovani	25																				
organism	sylvia communis	25																				
organism	cyanothece sp. atcc 51142	25																				
organism	sphingomonas wittichii rw1	25																				
organism	west nile virus	24																				
organism	ribes nigrum	24																				
organism	humulus lupulus	24																				
organism	laternula elliptica	24																				
organism	pseudomonas syringae pv. phaseolicola	24																				
organism	salmonella enterica subsp. enterica serovar dublin	24																				
organism	candidatus pelagibacter ubique htcc1062	24																				
organism	eucalyptus camaldulensis x eucalyptus grandis	24																				
organism	corynebacterium glutamicum atcc 13032	24																				
organism	populus alba	24																				
organism	desulfotomaculum reducens mi 1	24																				
organism	nitrosomonas europaea	24																				
organism	cyanothece sp.	24																				
organism	brugia pahangi	24																				
organism	pseudomonas stutzeri a1501	24																				
organism	methanobacteria	24																				
organism	staphylococcus aureus rn4220	24																				
organism	cryptococcus neoformans var. neoformans jec21	24																				
organism	teleopsis dalmanni	24																				
organism	populus maximowiczii x populus nigra	24																				
organism	salmonella enterica subsp. enterica serovar montevideo	24																				
organism	saccharomyces cerevisiae vin13	24																				
organism	pseudomonas fluorescens pf 5	24																				
organism	salmonella enterica subsp. enterica serovar paratyphi c	24																				
organism	mycoplasma gallisepticum	24																				
organism	papaver somniferum	24																				
organism	drosophila	23																				
organism	treponema denticola	23																				
organism	dickeya dadantii	23																				
organism	streptococcus mitis	23																				
organism	phytophthora infestans	22																				
organism	astatotilapia burtoni	22																				
organism	campylobacter	22																				
organism	synechococcus elongatus	22																				
organism	salmonella enterica subsp. enterica serovar kentucky	22																				
organism	desulfovibrio desulfuricans subsp. desulfuricans str. g20	22																				
organism	photobacterium profundum	22																				
organism	choristoneura fumiferana mnpv	22																				
organism	lactococcus lactis subsp. cremoris mg1363	22																				
organism	haplochromis burtoni	22																				
organism	clostridium beijerinckii	22																				
organism	rhodococcus jostii rha1	22																				
organism	cichorium intybus	22																				
organism	pinus radiata	22																				
organism	vicia narbonensis	21																				
organism	bubalus bubalis	21																				
organism	frankia alni acn14a	21																				
organism	streptococcus pneumoniae tigr4	21																				
organism	physcomitrella patens	21																				
organism	corynebacterium glutamicum	20																				
organism	julidochromis transcriptus	20																				
organism	uncultured organism	20																				
organism	julidochromis marlieri	20																				
organism	citrus aurantifolia	20																				
organism	clostridium perfringens str. 13	20																				
organism	gibberella fujikuroi	20																				
organism	tetraodon nigroviridis	20																				
organism	ferroglobus placidus dsm 10642	20																				
organism	pseudomonas fluorescens	20																				
organism	culex quinquefasciatus	20																				
organism	gossypium mustelinum	19																				
organism	pachycladon novaezelandiae	19																				
organism	pectobacterium atrosepticum	19																				
organism	cucumis melo	19																				
organism	betula pendula	19																				
organism	trichoderma reesei qm6a	18																				
organism	salmonella enterica subsp. enterica serovar choleraesuis	18																				
organism	streptococcus pyogenes mgas6180	18																				
organism	moniezia expansa	18																				
organism	salmonella enterica subsp. enterica serovar infantis	18																				
organism	lactococcus lactis subsp. lactis il1403	18																				
organism	moraxella catarrhalis rh4	18																				
organism	dermacentor andersoni	18																				
organism	sphingomonas paucimobilis	18																				
organism	heterodera glycines	18																				
organism	gossypium tomentosum	18																				
organism	chlamydia trachomatis	18																				
organism	bemisia tabaci	18																				
organism	buchnera aphidicola	18																				
organism	staphylococcus aureus subsp. aureus nctc 8325	18																				
organism	neisseria meningitidis mc58	18																				
organism	epinephelus tauvina	18																				
organism	cannabis sativa	18																				
organism	human herpesvirus 5 strain towne	18																				
